id;mapa;motorista;status;inicio;fim;criado_em;tem_divergencia;tem_avaria;total_itens;itens_conferidos;itens_avariados
49;707070;539;completed;10/03/2026 11:32:02;10/03/2026 11:32:46;10/03/2026 11:32:02;t;f;0;0;0
48;228368;006;completed;10/03/2026 04:16:40;10/03/2026 04:20:43;10/03/2026 04:16:40;t;f;0;0;0
47;606060;539;completed;10/03/2026 04:03:44;10/03/2026 04:04:25;10/03/2026 04:03:44;t;f;0;0;0
43;228365;123;completed;09/03/2026 22:54:39;09/03/2026 22:56:08;09/03/2026 22:54:39;f;f;0;0;0
42;505050;539;completed;09/03/2026 22:38:56;09/03/2026 22:39:43;09/03/2026 22:38:56;f;f;0;0;0
41;404040;539;completed;09/03/2026 22:27:21;09/03/2026 22:27:42;09/03/2026 22:27:21;f;f;0;0;0
40;303030;539;completed;09/03/2026 22:14:28;09/03/2026 22:23:32;09/03/2026 22:14:28;f;f;0;0;0
39;202020;539;completed;09/03/2026 22:07:42;09/03/2026 22:08:24;09/03/2026 22:07:42;f;f;0;0;0
38;101010;539;completed;09/03/2026 15:09:51;09/03/2026 15:10:14;09/03/2026 15:09:51;f;f;0;0;0
37;444444;539;completed;09/03/2026 14:56:11;09/03/2026 14:56:34;09/03/2026 14:56:11;f;f;0;0;0
36;333333;539;completed;09/03/2026 14:19:10;09/03/2026 14:19:32;09/03/2026 14:19:10;f;f;0;0;0
35;111111;539;completed;09/03/2026 12:46:58;09/03/2026 12:47:23;09/03/2026 12:46:58;f;f;0;0;0
34;222222;539;completed;09/03/2026 12:26:58;09/03/2026 12:43:41;09/03/2026 12:26:58;f;f;0;0;0
33;555555;539;completed;08/03/2026 01:25:34;08/03/2026 01:26:17;08/03/2026 01:25:34;f;f;0;0;0
32;222333;539;completed;08/03/2026 01:06:44;08/03/2026 01:07:37;08/03/2026 01:06:44;f;f;0;0;0
31;222555;539;completed;08/03/2026 00:22:43;08/03/2026 00:30:21;08/03/2026 00:22:43;f;f;0;0;0
30;222111;539;completed;07/03/2026 22:12:26;07/03/2026 22:13:21;07/03/2026 22:12:26;f;f;0;0;0
29;222888;539;completed;07/03/2026 20:44:12;07/03/2026 22:09:07;07/03/2026 20:44:12;f;f;0;0;0
28;222999;539;in_progress;07/03/2026 20:28:59;;07/03/2026 20:28:59;f;f;0;0;0
27;222000;539;in_progress;05/03/2026 11:22:44;;05/03/2026 11:22:44;f;f;0;0;0
8;228224;38;in_progress;03/03/2026 13:23:39;;03/03/2026 13:23:39;f;f;0;0;0
7;mapa001;12345;in_progress;25/02/2026 01:01:43;;25/02/2026 01:01:43;f;f;0;0;0
6;227779;12345;in_progress;24/02/2026 13:48:30;;24/02/2026 13:48:30;f;f;0;0;0
5;227979;12345;completed;24/02/2026 02:12:04;24/02/2026 02:13:55;24/02/2026 02:12:04;f;f;0;0;0
4;map-9921;12345;in_progress;24/02/2026 02:11:33;;24/02/2026 02:11:33;f;f;0;0;0
3;MAP-00;DRV-123;in_progress;23/02/2026 15:42:26;;23/02/2026 15:42:26;f;f;0;0;0
2;MAP-9921;12345;in_progress;23/02/2026 15:40:19;;23/02/2026 15:40:19;f;f;0;0;0
